,0,1
698,JCM 20849,['J118']
699,JCM 31327,['J118']
700,JCM 4314,['J43']
701,JCM 22252,"['J30', 'J226']"
702,JCM 7139,"['J13', 'J14', 'J84']"
703,JCM 5367,['J22']
704,JCM 22404,"['J30', 'J226']"
705,JCM 8493,['J150']
706,JCM 17453,['J118']
707,JCM 18907,['J14']
708,JCM 6323,"['J14', 'J84']"
709,JCM 28157,['J30']
710,JCM 12427,['J13']
711,JCM 13674,"['J25', 'J30']"
712,JCM 3533,"['J25', 'J30']"
713,JCM 19688,['J842']
714,JCM 10016,"['J25', 'J30', 'J73']"
715,JCM 12325,['J118']
716,JCM 3721,"['J14', 'J83', 'J84']"
717,JCM 33424,['J118']
718,JCM 20117,['J22']
719,JCM 32167,['J27']
720,JCM 22578,"['J30', 'J226']"
721,JCM 13459,"['J27', 'J156']"
722,JCM 4897,['J42']
723,JCM 20023,"['J13', 'J84']"
724,JCM 4178,"['J43', 'J66']"
725,JCM 1786,"['J25', 'J30', 'J118', 'J443', 'J574']"
726,JCM 5853,"['J26', 'J40', 'J52']"
727,JCM 15025,"['J25', 'J30']"
728,JCM 3751,"['J7', 'J22']"
729,JCM 31564,['J118']
730,JCM 15128,['J14']
731,JCM 31817,['J280']
732,JCM 1983,"['J22', 'J43', 'J57', 'J1022']"
733,JCM 2818,"['J22', 'J30', 'J79']"
734,JCM 11635,"['J25', 'J30']"
735,JCM 13421,['J30']
736,JCM 12003,"['J30', 'J148']"
737,JCM 10206,"['J25', 'J30']"
738,JCM 5393,['J22']
739,JCM 24523,['J25']
740,JCM 8014,"['J14', 'J84']"
741,JCM 1905,"['J26', 'J35', 'J82', 'J118', 'J181', 'J406', 'J488']"
742,JCM 30354,['J346']
743,JCM 20922,['J74']
744,JCM 8171,"['J25', 'J30']"
745,JCM 13737,"['J25', 'J30']"
746,JCM 12435,['J13']
747,JCM 8918,"['J25', 'J30']"
748,JCM 10449,"['J25', 'J30']"
749,JCM 9302,['J30']
750,JCM 5569,['J30']
751,JCM 15916,['J14']
752,JCM 10835,"['J25', 'J30']"
753,JCM 13381,['J118']
754,JCM 12019,"['J30', 'J148']"
